Nombre Curso,Link Diploma
Analyzing Police Activity with pandas,https://www.datacamp.com/statement-of-accomplishment/course/5388a68b70fbc4aa17a27432801146392de0587b
Case Study: School Budgeting with Machine Learning in Python,https://www.datacamp.com/statement-of-accomplishment/course/2de64e9e828c6b7460c2f3773fc161e5d8ac5e38
Cleaning Data in Python,https://www.datacamp.com/statement-of-accomplishment/course/030b17b8e87879a92c6ed4219a970cd4081e4725
Conda Essentials,https://www.datacamp.com/statement-of-accomplishment/course/2c4893b3d655a644c65cf274384dfdb95b6fd94a
Data Manipulation with pandas,https://www.datacamp.com/statement-of-accomplishment/course/ddf822d2a84c66ffd6f5babb1e708ab16720e93f
Data Science for Everyone,https://www.datacamp.com/statement-of-accomplishment/course/c90ab95f127c54e01de970223c00716cd0062877
Data Types for Data Science in Python,https://www.datacamp.com/statement-of-accomplishment/course/b61f9ba3c191bceea4d957e6449197f4beba01df
Interactive Data Visualization with Bokeh,https://www.datacamp.com/statement-of-accomplishment/course/f3c342d6ca2a11106b54a2ddeff52ccf18f2c892
Intermediate Importing Data in Python,https://www.datacamp.com/statement-of-accomplishment/course/ba149e937ea03458bae56541cf941b13057cef6f
Intermediate Python,https://www.datacamp.com/statement-of-accomplishment/course/9b4b4e4a0c902ed9a6de609d806fde8a53bac9b7
Introduction to Data Science in Python,https://www.datacamp.com/statement-of-accomplishment/course/8520376fdc73834b379c371c9c488676599656ed
Introduction to Data Visualization in Python,https://www.datacamp.com/statement-of-accomplishment/course/f74116b08ec43d2627dd895cb699078fa8544f3d
Introduction to Databases in Python,https://www.datacamp.com/statement-of-accomplishment/course/24afded0432d2373748f9d31f94c13ec5a24ba75
Introduction to Deep Learning in Python,https://www.datacamp.com/statement-of-accomplishment/course/81fe90e57ecc4d89e61417162ab32141e986acd9
Introduction to Network Analysis in Python,https://www.datacamp.com/statement-of-accomplishment/course/8c4d5a68a1faff9490fd07fc792ae1a8914f4ad6
Introduction to PySpark,https://www.datacamp.com/statement-of-accomplishment/course/60bf5874dcab19674a9025535402cfe76c1e769e
Introduction to Python,www.datacamp.com/statement-of-accomplishment/course/152d994cb04592ca5c1c48d01cd09f580d27c0f9
